example_id                                                     | status  | run_time        |
./spec/models/wizard/steps/planned_processing_spec.rb[1:1:1]   | failed  | 0.05605 seconds |
./spec/models/wizard/steps/planned_processing_spec.rb[1:1:2:1] | passed  | 0.00045 seconds |
./spec/models/wizard/steps/planned_processing_spec.rb[1:1:2:2] | passed  | 0.00114 seconds |
./spec/models/wizard/steps/planned_processing_spec.rb[1:1:3:1] | passed  | 0.00042 seconds |
./spec/models/wizard/steps/planned_processing_spec.rb[1:1:3:2] | passed  | 0.00028 seconds |
./spec/models/wizard/steps/planned_processing_spec.rb[1:2:1]   | passed  | 0.00026 seconds |
./spec/models/wizard/steps/planned_processing_spec.rb[1:3:1]   | pending | 0.00001 seconds |
./spec/models/wizard/steps/planned_processing_spec.rb[1:4:1:1] | passed  | 0.00037 seconds |
./spec/models/wizard/steps/trader_scheme_spec.rb[1:1:1:1]      | passed  | 0.00025 seconds |
./spec/models/wizard/steps/trader_scheme_spec.rb[1:1:1:2]      | passed  | 0.00077 seconds |
./spec/models/wizard/steps/trader_scheme_spec.rb[1:1:2:1]      | passed  | 0.00021 seconds |
./spec/models/wizard/steps/trader_scheme_spec.rb[1:1:2:2]      | passed  | 0.00026 seconds |
./spec/models/wizard/steps/trader_scheme_spec.rb[1:2:1]        | passed  | 0.00023 seconds |
./spec/models/wizard/steps/trader_scheme_spec.rb[1:3:1]        | pending | 0.00001 seconds |
./spec/models/wizard/steps/trader_scheme_spec.rb[1:4:1:1]      | passed  | 0.00056 seconds |
./spec/services/option_builder_spec.rb[1:1:1:1]                | passed  | 0.00177 seconds |
./spec/services/option_builder_spec.rb[1:1:2:1]                | passed  | 0.00046 seconds |
